,Pearson's Correlation Coefficient
ENSG00000226874,-0.125
SEC24B,-0.125
SNX18,-0.125
ENSG00000251675,-0.125
NFKB1,-0.125
BICDL1,-0.125
QTRT1P1,-0.125
ENSG00000270640,-0.125
MMP23A,-0.125
ENSG00000228826,-0.125
ENSG00000252612,-0.125
ENSG00000264701,-0.125
NPY6R,-0.125
ENSG00000274612,-0.125
PHF7,-0.125
ENSG00000267220,-0.125
ENSG00000277613,-0.125
ENSG00000232518,-0.125
IGKV3-25,-0.125
ENSG00000283176,-0.125
ZNF767P,-0.125
RNU6-1240P,-0.125
GXYLT1P6,-0.125
OR2T2,-0.125
GM2A,-0.125
ALKAL2,-0.125
C2,-0.125
KCNRG,-0.125
CASKP1,-0.125
FEM1C,-0.125
VWA3A,-0.125
RN7SL683P,-0.125
MTND3P5,-0.126
ENSG00000250354,-0.126
ZMYM5,-0.126
TRBV22-1,-0.126
ENSG00000242444,-0.126
PRDX6-AS1,-0.126
AQP4-AS1,-0.126
PSPC1-AS2,-0.126
ENSG00000219150,-0.126
YBX1P3,-0.126
TFAP2E,-0.126
ENSG00000285331,-0.126
ENSG00000276724,-0.126
RFPL2,-0.126
OSBPL8,-0.126
ENSG00000227388,-0.126
TEX26,-0.126
ENSG00000271437,-0.126
RAB43P1,-0.126
ENSG00000222421,-0.126
ENSG00000279499,-0.126
ENSG00000276517,-0.126
ENSG00000267711,-0.126
DNAJB13,-0.126
NAMPTP3,-0.126
LINC00824,-0.126
ENSG00000225000,-0.126
ENSG00000262372,-0.126
REG4,-0.126
BID,-0.126
TP73-AS1,-0.126
ENSG00000227374,-0.126
ZNF235,-0.126
LINC01108,-0.126
CLDN5,-0.126
UGP2,-0.126
STX12,-0.126
RN7SL338P,-0.126
LRRC2,-0.126
ENSG00000267192,-0.126
ENSG00000270980,-0.126
OR6N2,-0.126
SLC4A8-AS1,-0.126
ATP13A4-AS1,-0.126
DCK,-0.126
SLC22A1,-0.126
LINC01375,-0.126
ENSG00000273464,-0.126
ENSG00000285518,-0.126
ENSG00000264660,-0.126
ENSG00000234504,-0.126
PGGT1B,-0.126
ENSG00000270249,-0.126
ENSG00000259109,-0.126
LMOD3,-0.126
ENSG00000224387,-0.126
ABCA9-AS1,-0.126
SERPINB10,-0.126
PRSS45P,-0.126
TPTEP1,-0.126
ENSG00000248943,-0.126
LINC02256,-0.126
NDEL1,-0.126
LIPT1,-0.126
HLA-N,-0.126
ENSG00000282692,-0.126
TGOLN2,-0.126
ENSG00000269066,-0.126
RN7SKP287,-0.126
UBOX5,-0.126
ENSG00000261816,-0.126
LCNL1,-0.126
OR2T32P,-0.126
ENSG00000267422,-0.126
LINC02642,-0.127
TSPAN7,-0.127
PI4KAP1,-0.127
ENSG00000279406,-0.127
MIR3140,-0.127
HNRNPA1P17,-0.127
IGHV3OR16-12,-0.127
GLB1L3,-0.127
ZFP90,-0.127
SLC25A45,-0.127
RN7SKP112,-0.127
CXXC1,-0.127
DMAC1P1,-0.127
ENSG00000257095,-0.127
CDK9,-0.127
PUM2,-0.127
SLC35D2,-0.127
ENSG00000267145,-0.127
ENSG00000273258,-0.127
TRIM60P18,-0.127
ZNF546,-0.127
ENSG00000273017,-0.127
SNORD116-16,-0.127
SNORD116-13,-0.127
ENSG00000275613,-0.127
UPP2-IT1,-0.127
MYO15A,-0.127
CREB3L3,-0.127
LDHAL6EP,-0.127
RPS27AP7,-0.127
COL8A2,-0.127
MCPH1-AS1,-0.127
LINC01887,-0.127
ENSG00000245688,-0.127
OTULINL,-0.127
ENSG00000274717,-0.127
ENSG00000206549,-0.127
ST6GAL2,-0.127
ENSG00000226089,-0.127
ENSG00000215156,-0.127
TMEM9B,-0.127
OR52T1P,-0.127
RELB,-0.127
RB1-DT,-0.127
MED4,-0.127
ENSG00000200538,-0.127
ENSG00000269483,-0.127
ENSG00000225303,-0.127
ENSG00000280054,-0.127
LINC01700,-0.127
DUSP2,-0.127
BIRC2,-0.127
ENSG00000262837,-0.127
ROGDI,-0.127
RDH5,-0.127
ENSG00000274269,-0.127
CDK11A,-0.127
MT1HL1,-0.127
ENSG00000261293,-0.127
MIR4736,-0.127
RN7SL743P,-0.127
PPP6R2,-0.127
CDC42P5,-0.127
RN7SL411P,-0.127
NAGA,-0.127
IGLV11-55,-0.127
ENSG00000174171,-0.127
RNF170,-0.127
ACP3,-0.127
ENSG00000277950,-0.127
ENSG00000272866,-0.127
ENSG00000253988,-0.127
ANKMY1,-0.127
ENSG00000254992,-0.127
LINC02605,-0.127
RNF138,-0.127
ZNF654,-0.127
ENSG00000218631,-0.127
ENSG00000265656,-0.127
ENSG00000253857,-0.127
TBCC,-0.127
ENSG00000236226,-0.128
KIF25-AS1,-0.128
ENSG00000279235,-0.128
ALOX15,-0.128
ENSG00000251408,-0.128
IL21,-0.128
BNIP3P29,-0.128
CERS3,-0.128
SLC1A2-AS1,-0.128
ETV7,-0.128
LHFPL3,-0.128
IFITM3P5,-0.128
ZNF597,-0.128
PWRN4,-0.128
ENSG00000278012,-0.128
KPNA5,-0.128
PRR5L,-0.128
CP,-0.128
ENSG00000262495,-0.128
PNPLA4,-0.128
ENSG00000279880,-0.128
ENSG00000256234,-0.128
ENSG00000279162,-0.128
RN7SL174P,-0.128
ENSG00000256514,-0.128
COA5,-0.128
HSPE1P11,-0.128
ENSG00000213150,-0.128
ENSG00000279145,-0.128
ELMOD3,-0.128
ENSG00000279328,-0.128
ATP10B,-0.128
RN7SL656P,-0.128
CA3-AS1,-0.128
SLC22A10,-0.128
RPL39P28,-0.128
TRBV29OR9-2,-0.128
RGSL1,-0.128
OR13D1,-0.128
MIR4271,-0.128
ENSG00000273724,-0.128
ENSG00000228144,-0.128
LRRN2,-0.128
APBB3,-0.128
ENSG00000271314,-0.128
ENSG00000275582,-0.128
RNF130,-0.128
ENSG00000227960,-0.128
ENSG00000278757,-0.128
IKBKE,-0.128
RNU6-675P,-0.128
TSHZ3,-0.128
ENSG00000254419,-0.128
ENSG00000229271,-0.128
MIR3667,-0.128
LINC01335,-0.128
AGBL4,-0.128
MACF1,-0.128
EXOC1,-0.128
KYAT3,-0.128
RCOR3,-0.129
IGHV3-50,-0.129
IGHV4OR15-8,-0.129
ENSG00000284669,-0.129
ENSG00000273333,-0.129
DDX6,-0.129
RNF31,-0.129
ENSG00000272397,-0.129
DPPA3,-0.129
ENSG00000258699,-0.129
ISY1-RAB43,-0.129
KHNYN,-0.129
IGHV3-47,-0.129
ENSG00000228280,-0.129
ZNF280B,-0.129
GABRB2,-0.129
ZNF839P1,-0.129
EFCAB13,-0.129
CRYM,-0.129
ENSG00000249870,-0.129
ENSG00000278543,-0.129
ENSG00000283003,-0.129
LINC01485,-0.129
WASHC1,-0.129
MALLP2,-0.129
ENSG00000285852,-0.129
C1ORF87,-0.129
PDYN,-0.129
CHD7,-0.129
GOLGA8VP,-0.129
ATP5MGP6,-0.129
ENSG00000273293,-0.129
RNU6-831P,-0.129
RNU6-1053P,-0.129
RN7SKP130,-0.129
ENSG00000272254,-0.129
ENSG00000252450,-0.129
PHC3,-0.129
ENSG00000261487,-0.129
MAN2B2,-0.129
CEP120,-0.129
SLC66A3,-0.129
MED23,-0.129
PHF12,-0.129
CRYBA1,-0.129
PRKAB1,-0.129
ENSG00000250685,-0.129
ENSG00000251805,-0.129
ENSG00000275106,-0.129
ENSG00000279674,-0.129
ENSG00000212445,-0.129
FAM200B,-0.129
ENSG00000256361,-0.129
SPAST,-0.129
ENSG00000271871,-0.129
QPCT,-0.129
ENSG00000277130,-0.129
ENSG00000248769,-0.129
ENSG00000223599,-0.129
PABPN1L,-0.129
ENSG00000272967,-0.129
HTR3A,-0.129
LINC02795,-0.129
NRSN1,-0.129
ENSG00000261622,-0.129
ENSG00000267146,-0.129
LINC02666,-0.129
PPP1R14A,-0.129
MIR4441,-0.129
ENSG00000267764,-0.129
SNORD116-9,-0.129
NSMCE3,-0.129
CYP4F29P,-0.129
RBM48,-0.129
ENSG00000249258,-0.13
ENSG00000201554,-0.13
DRAXIN,-0.13
RN7SL258P,-0.13
FAM8A1,-0.13
PCMTD2,-0.13
CCND3,-0.13
TDRD7,-0.13
CYP11B1,-0.13
ARPC4-TTLL3,-0.13
HNMT,-0.13
ENSG00000259753,-0.13
MIR5190,-0.13
ENSG00000201217,-0.13
CCSER2,-0.13
ENSG00000258792,-0.13
SOCAR,-0.13
ATP6V0D1,-0.13
CRYZL2P,-0.13
GPR52,-0.13
PER1,-0.13
MCPH1,-0.13
ENSG00000260686,-0.13
ELL,-0.13
ENSG00000230709,-0.13
MORC1,-0.13
USF1P1,-0.13
MIR548E,-0.13
DYNLT4,-0.13
GALR1,-0.13
ENSG00000250575,-0.13
ENPP7P6,-0.13
TDRD15,-0.13
ENSG00000285861,-0.13
MIR4680,-0.13
FMO4,-0.13
ENSG00000264497,-0.13
KCNS1,-0.13
ZNRF2,-0.13
OR13C5,-0.13
ENSG00000270055,-0.13
ENSG00000237152,-0.13
DDX11L10,-0.13
ENSG00000278239,-0.13
ENSG00000275227,-0.13
GGA3,-0.13
TYK2,-0.13
WHAMMP4,-0.13
ENSG00000255829,-0.13
ENSG00000271568,-0.13
C11ORF97,-0.13
RPL21P5,-0.13
ENSG00000249876,-0.13
F11R,-0.13
ENSG00000253042,-0.13
ENSG00000271011,-0.13
RAD23BP3,-0.13
SLC28A2-AS1,-0.13
ENSG00000233138,-0.13
RNU4-50P,-0.13
SRSF12,-0.13
ENSG00000250992,-0.13
RNA5SP219,-0.13
CCDC7,-0.13
ENSG00000273320,-0.13
MED4-AS1,-0.13
ENSG00000258481,-0.131
B3GNTL1,-0.131
ENSG00000251001,-0.131
KIAA0040,-0.131
ENSG00000254314,-0.131
CDH9,-0.131
ENSG00000284999,-0.131
NCR2,-0.131
ENSG00000253475,-0.131
ENSG00000271870,-0.131
ENSG00000270562,-0.131
ENSG00000253140,-0.131
ENSG00000255726,-0.131
MIR6837,-0.131
MTRF1,-0.131
MIR4718,-0.131
ENSG00000269954,-0.131
ENSG00000206781,-0.131
ZZEF1,-0.131
MOB3B,-0.131
ICA1,-0.131
RARRES2P3,-0.131
ENSG00000273399,-0.131
ENSG00000258273,-0.131
ENSG00000236194,-0.131
LAMB2P1,-0.131
EFHD2,-0.131
ENSG00000257434,-0.131
CCL15,-0.131
RALYL,-0.131
ENSG00000240568,-0.131
SNORD116-18,-0.131
NECAP1,-0.131
SHD,-0.131
RIT2,-0.131
RD3L,-0.131
ENSG00000269318,-0.131
ENSG00000279668,-0.131
ENSG00000217512,-0.131
ENSG00000262890,-0.131
ENSG00000266718,-0.131
WBP2NL,-0.131
PRSS33,-0.131
ENSG00000255652,-0.131
XPC-AS1,-0.131
BTBD6P1,-0.131
SERPINE3,-0.131
MIR6822,-0.131
RN7SL368P,-0.131
LINC02848,-0.131
RNA5SP88,-0.131
RPL38P5,-0.131
ENSG00000242197,-0.131
CPEB2,-0.131
CEPT1,-0.131
VWC2L,-0.131
ENSG00000279253,-0.131
ENSG00000273319,-0.131
MAP3K19,-0.131
CASP4,-0.131
R3HCC1L,-0.131
KPNA4P1,-0.131
FAM223A,-0.131
CYP3A43,-0.131
PRSS40A,-0.131
PPP1R3B,-0.131
ENSG00000285836,-0.131
MDFIC,-0.131
TRBVA,-0.131
ENSG00000256031,-0.132
MFSD2B,-0.132
DISC1-IT1,-0.132
ENSG00000279294,-0.132
ENSG00000199938,-0.132
ENSG00000275392,-0.132
ENSG00000279456,-0.132
AKT3-IT1,-0.132
GOLGA8IP,-0.132
ZNF625-ZNF20,-0.132
KLRC3,-0.132
RBP7,-0.132
SNORD116-14,-0.132
ENSG00000228648,-0.132
ENSG00000207171,-0.132
KMT5B,-0.132
ENSG00000285591,-0.132
SMAP1,-0.132
ENSG00000271204,-0.132
PDCD4-AS1,-0.132
FBXO42,-0.132
NMI,-0.132
ENSG00000285572,-0.132
STAR,-0.132
CRIP1P1,-0.132
IST1,-0.132
DIAPH1-AS1,-0.132
RHBDD1,-0.132
ENSG00000261671,-0.132
IFI27L2,-0.132
ENSG00000263244,-0.132
ENSG00000266846,-0.132
ENSG00000268931,-0.132
RETREG2,-0.132
ZBED1,-0.132
CPLX2,-0.132
RPL21P30,-0.132
ZBTB20-AS5,-0.132
ENSG00000237473,-0.132
PTPRA,-0.132
ENSG00000275343,-0.132
VIPR1-AS1,-0.132
ZNF815P,-0.132
PHKA2,-0.132
ENSG00000231901,-0.132
FAM238B,-0.132
C1ORF147,-0.132
ENSG00000254260,-0.132
ENSG00000280047,-0.132
PSMD6-AS1,-0.132
ENSG00000227189,-0.132
ENSG00000232599,-0.132
ENSG00000274156,-0.132
RNU1-153P,-0.132
CAPN14,-0.132
MIR6131,-0.132
ENSG00000279437,-0.132
ENSG00000228835,-0.132
ENSG00000278017,-0.132
GLCCI1,-0.132
HIVEP2,-0.132
GEMIN8P1,-0.132
FAR2P2,-0.132
ENSG00000282416,-0.132
PRANCR,-0.132
ENSG00000285553,-0.132
ENSG00000254851,-0.132
ENSG00000269836,-0.132
ENSG00000265115,-0.132
ENSG00000254488,-0.132
ENSG00000272402,-0.132
STK33,-0.132
ENSG00000237955,-0.132
MIR6509,-0.132
GPS2P2,-0.132
NPRL2,-0.132
LINC02561,-0.132
KLHDC8A,-0.132
ENSG00000256863,-0.132
JAKMIP1-DT,-0.132
ENSG00000267745,-0.132
ENSG00000227355,-0.132
CCL24,-0.132
ENSG00000241169,-0.132
MIR6771,-0.133
ZFP2,-0.133
MACC1,-0.133
SETP17,-0.133
KDM5DP1,-0.133
ZNF461,-0.133
ENSG00000230751,-0.133
MKRN7P,-0.133
GDF10,-0.133
ENSG00000260071,-0.133
ENSG00000200075,-0.133
ARRDC2,-0.133
ENSG00000272958,-0.133
MIR4433A,-0.133
ENSG00000261646,-0.133
TCEAL8,-0.133
ENSG00000255410,-0.133
ENSG00000274292,-0.133
ENSG00000267547,-0.133
LINC01176,-0.133
ENSG00000273791,-0.133
ARPC2,-0.133
ENSG00000279719,-0.133
C2CD4B,-0.133
MTMR9,-0.133
ENSG00000273958,-0.133
MIR5192,-0.133
CNOT8,-0.133
ENSG00000249881,-0.133
PET100,-0.133
ENSG00000222503,-0.133
ENSG00000271533,-0.133
ATP8A1-DT,-0.133
ENSG00000258400,-0.133
GNG3,-0.133
CICP27,-0.133
ENSG00000285404,-0.133
ENSG00000273302,-0.133
LRRTM1,-0.133
ENSG00000212205,-0.133
ENSG00000239079,-0.133
DNAH6,-0.133
ENSG00000255126,-0.133
MIR3679,-0.133
ENSG00000235105,-0.133
ENSG00000275799,-0.133
ENSG00000225527,-0.133
DRAM2,-0.133
ENSG00000244346,-0.133
NIBAN1,-0.133
PER2,-0.133
ENSG00000253687,-0.133
ENSG00000145075,-0.133
ANKRD35,-0.133
FAM95B1,-0.133
TEX29,-0.133
HMSD,-0.133
HEPACAM2,-0.133
PLPP5,-0.133
DDHD1,-0.133
INPP5K,-0.133
ENSG00000226155,-0.133
OR52I1,-0.133
MIR4688,-0.133
HIVEP1,-0.133
ENSG00000285717,-0.133
GPBP1,-0.133
ENSG00000277958,-0.133
HHEX,-0.133
NCOA4P3,-0.133
MIR363,-0.133
ZNF442,-0.133
KCNN3,-0.133
HEATR4,-0.134
ENSG00000268461,-0.134
NRADDP,-0.134
STMN1P1,-0.134
AP5M1,-0.134
RADX,-0.134
OR52L2P,-0.134
ENSG00000285245,-0.134
ASB8,-0.134
LEMD1-DT,-0.134
IGKV2-23,-0.134
FAM90A1,-0.134
ENSG00000267934,-0.134
IGKV2D-23,-0.134
ENSG00000273682,-0.134
ENSG00000272106,-0.134
ENSG00000258761,-0.134
RNY4P6,-0.134
LINC01250,-0.134
LINC01882,-0.134
ENSG00000275231,-0.134
ENSG00000227066,-0.134
PDZRN4,-0.134
IFNK,-0.134
PI4KAP2,-0.134
BTG2-DT,-0.134
KBTBD11-AS1,-0.134
RPL23AP23,-0.134
GLYATL1B,-0.134
SLC6A1-AS1,-0.134
IL22,-0.134
ENSG00000279886,-0.134
ENSG00000271761,-0.134
CCL16,-0.134
ENSG00000280077,-0.134
ENSG00000284671,-0.134
ENSG00000273165,-0.134
CENPCP1,-0.134
ENSG00000227719,-0.134
ENSG00000225300,-0.134
ENSG00000276278,-0.134
CECR3,-0.134
ENSG00000279586,-0.134
CFAP91,-0.134
CA3,-0.134
WTAP,-0.134
EPX,-0.134
OR52B6,-0.134
ENSG00000257053,-0.134
PTGES3P2,-0.134
TRPM6,-0.134
RNA5SP368,-0.134
ENSG00000278766,-0.134
C2ORF42,-0.134
ENSG00000259926,-0.134
HSPE1P13,-0.134
RNU6-936P,-0.134
MTF1,-0.134
MIR4802,-0.134
ENSG00000236164,-0.134
RN7SL681P,-0.134
ENSG00000207525,-0.134
ENSG00000224521,-0.134
FRAT2,-0.134
ENSG00000253273,-0.134
RNU6-1004P,-0.134
ENSG00000264754,-0.134
ENSG00000229402,-0.135
SULT1A4,-0.135
MIR4313,-0.135
ENSG00000280096,-0.135
ENSG00000267640,-0.135
NPAT,-0.135
LIME1,-0.135
TAB2,-0.135
C22ORF42,-0.135
ENSG00000231467,-0.135
ENSG00000267699,-0.135
ENSG00000240056,-0.135
ENSG00000258919,-0.135
RNU6-146P,-0.135
DOK1,-0.135
CD248,-0.135
LINC01691,-0.135
ENSG00000249189,-0.135
CCDC66,-0.135
OR2T3,-0.135
DEPP1,-0.135
RNU1-143P,-0.135
RN7SL756P,-0.135
LINC00642,-0.135
ENSG00000260511,-0.135
ENSG00000272638,-0.135
ATP2B2,-0.135
VPS26C,-0.135
ENSG00000274693,-0.135
BATF2,-0.135
PDE6C,-0.135
GLULP4,-0.135
ZXDC,-0.135
POLD4,-0.135
TDGF1,-0.135
LRRFIP1,-0.135
DOC2GP,-0.135
CLEC4OP,-0.135
ENSG00000273156,-0.135
ARPC4,-0.135
LINC01258,-0.135
MIR744,-0.135
ENSG00000272807,-0.135
DMTF1,-0.135
SLC20A1P2,-0.135
RNU6-447P,-0.135
GOLGA8J,-0.135
SYNPR,-0.135
IGLV10-67,-0.135
ENSG00000261131,-0.135
MLH3,-0.135
DIPK2B,-0.135
MMP21,-0.135
UBE2Q2P9,-0.135
ENSG00000214067,-0.135
NIPSNAP3B,-0.135
ENSG00000285539,-0.135
GC,-0.136
CELA2B,-0.136
RN7SL301P,-0.136
SNORD116-26,-0.136
ILDR2,-0.136
TPRKBP2,-0.136
ACADSB,-0.136
MYO18A,-0.136
DRD5,-0.136
ENSG00000271815,-0.136
SNORD115-20,-0.136
ENSG00000273942,-0.136
STARD3,-0.136
ZNF383,-0.136
CYCSP8,-0.136
ENSG00000276514,-0.136
SPOPL,-0.136
ENSG00000228330,-0.136
ENSG00000279601,-0.136
SOCS3,-0.136
ENSG00000275607,-0.136
HERPUD1,-0.136
ZNF385D,-0.136
RPL21P32,-0.136
RNU6-1153P,-0.136
ENSG00000279679,-0.136
CAPN11,-0.136
RNA5SP196,-0.136
CROCCP2,-0.136
SGMS1-AS1,-0.136
ENSG00000279153,-0.136
LEFTY1,-0.136
RBM38-AS1,-0.136
TTC34,-0.136
IRAK4,-0.136
MIR4446,-0.136
RNF157-AS1,-0.136
NFE2,-0.136
ENSG00000279155,-0.136
ENSG00000259635,-0.136
ENSG00000271172,-0.136
GUCA1B,-0.136
ENSG00000279432,-0.136
RPS3AP32,-0.136
ZNF230,-0.136
MTND4P9,-0.136
RNU6-82P,-0.136
PSAP,-0.136
RPS27P16,-0.136
ENSG00000280136,-0.136
ENSG00000284735,-0.136
RPS25P3,-0.136
ENSG00000270883,-0.136
NXF5,-0.136
RNU6-959P,-0.136
ANKRD66,-0.136
ENSG00000275580,-0.136
ENSG00000285673,-0.136
ENSG00000275995,-0.136
ENSG00000280282,-0.136
ENSG00000250195,-0.136
ATP5PBP1,-0.136
ENSG00000246596,-0.136
ENSG00000255899,-0.136
FUCA1,-0.136
BTBD9-AS1,-0.136
CSNK1G2P1,-0.136
RN7SL77P,-0.136
IZUMO4,-0.136
MACO1,-0.136
ENSG00000227775,-0.136
LINC00664,-0.136
ENSG00000279930,-0.136
MAP3K5,-0.136
OFD1,-0.136
PRSS50,-0.136
PCNX1,-0.136
LINC00921,-0.136
OR52H2P,-0.136
OR52B4,-0.136
HBBP1,-0.136
CMTM6,-0.137
LINC01277,-0.137
ENSG00000258215,-0.137
ZDHHC21,-0.137
MIR5690,-0.137
ENSG00000206967,-0.137
ENSG00000279490,-0.137
ENSG00000268985,-0.137
TF,-0.137
LCN6,-0.137
ZNF143,-0.137
TRAV33,-0.137
ORAI2,-0.137
ENSG00000232855,-0.137
DIPK2A,-0.137
UBA3,-0.137
ENSG00000263326,-0.137
ENSG00000273828,-0.137
MAP3K4,-0.137
ENSG00000234428,-0.137
ENSG00000259377,-0.137
RNA5SP466,-0.137
ENSG00000250541,-0.137
ZNF431,-0.137
STK38,-0.137
MIR4312,-0.137
SAT2,-0.137
FNIP2,-0.137
ENSG00000270174,-0.137
CYP4F2,-0.137
IGSF22-AS1,-0.137
DDX17,-0.137
LINC02090,-0.137
ENSG00000249988,-0.137
MCTP1-AS1,-0.137
AGAP7P,-0.137
HMGB1P23,-0.137
ENSG00000236990,-0.137
EDNRB,-0.137
ENSG00000200953,-0.137
TRAPPC9,-0.137
ENSG00000237721,-0.137
UGT2B25P,-0.137
ORMDL1,-0.137
AGA-DT,-0.137
CYRIB,-0.137
RNA5SP493,-0.137
IFI35,-0.137
TMEM219,-0.137
RNU6-644P,-0.137
ENSG00000260331,-0.137
ENSG00000256733,-0.137
ENSG00000273154,-0.137
KDM6A,-0.137
ENSG00000266368,-0.137
CCS,-0.137
RFPL3S,-0.137
SPECC1L-ADORA2A,-0.137
ENSG00000273687,-0.137
ATP11A-AS1,-0.137
ENSG00000277826,-0.137
SAFB2,-0.137
ENSG00000271743,-0.137
ENSG00000279262,-0.137
ENSG00000280121,-0.137
ENSG00000285304,-0.137
TEKT1,-0.137
MTND5P2,-0.137
SH2D4B,-0.137
TRBV26,-0.138
RAB43,-0.138
DAZL,-0.138
POU3F4,-0.138
CASTOR3,-0.138
ENSG00000238012,-0.138
UBE2D3P2,-0.138
TMCC1,-0.138
ENSG00000268744,-0.138
ENSG00000276868,-0.138
ENSG00000279957,-0.138
RNU7-13P,-0.138
ZSCAN26,-0.138
C1RL,-0.138
RPS15AP27,-0.138
RPL12P9,-0.138
HEPH,-0.138
UBE2W,-0.138
PPP1R2P1,-0.138
ENSG00000261226,-0.138
MIR124-2,-0.138
ENSG00000282199,-0.138
IGLV3-32,-0.138
C18ORF25,-0.138
ENSG00000248936,-0.138
RPH3AL-AS1,-0.138
FAM215B,-0.138
MIR4433B,-0.138
SLC31A2,-0.138
ANKAR,-0.138
H3P6,-0.138
RAD1P2,-0.138
LINC02591,-0.138
ENSG00000267787,-0.138
LNPEP,-0.138
ZNF169,-0.138
LINS1,-0.138
ENSG00000267469,-0.138
ENSG00000271034,-0.138
ENSG00000226681,-0.138
ARL4AP3,-0.138
ENSG00000254942,-0.138
ENSG00000273370,-0.138
RNU6-418P,-0.138
REPS2,-0.138
PIP4P1,-0.138
ENSG00000279463,-0.138
GCNT7,-0.138
ENSG00000277151,-0.138
ENSG00000251878,-0.138
USF1,-0.138
OPCML-IT1,-0.138
FAAH,-0.138
APOA1,-0.138
ZNF484,-0.138
MSS51,-0.138
ENSG00000235945,-0.138
ENSG00000238366,-0.138
STXBP3,-0.138
ENSG00000278217,-0.138
TSNARE1,-0.138
PADI2,-0.138
ENSG00000267501,-0.138
IVNS1ABP,-0.138
ENSG00000268836,-0.138
OSBPL11,-0.138
SLC18A2,-0.138
ENSG00000238966,-0.138
ENSG00000230163,-0.138
ENSG00000272949,-0.138
ENSG00000273424,-0.138
SERPINB8,-0.138
OR2A20P,-0.138
AP1G2-AS1,-0.138
TIAM1,-0.138
HDX,-0.138
FBXW7-AS1,-0.139
DAZAP2,-0.139
ENSG00000267089,-0.139
LY6G6F-LY6G6D,-0.139
LINC02573,-0.139
IGHV3-79,-0.139
RNA5SP151,-0.139
ENSG00000257105,-0.139
RN7SL748P,-0.139
ZNF350-AS1,-0.139
RFPL3,-0.139
LINC02332,-0.139
ZFYVE27,-0.139
MRPL53P1,-0.139
PAFAH2,-0.139
UMODL1,-0.139
ENSG00000276573,-0.139
RNU6-415P,-0.139
ENSG00000233569,-0.139
RASGEF1A,-0.139
ENSG00000250893,-0.139
ENSG00000251775,-0.139
MT1H,-0.139
MTCO3P44,-0.139
ENSG00000254957,-0.139
ENSG00000228804,-0.139
TTLL3,-0.139
WHAMMP1,-0.139
ENSG00000279630,-0.139
ENSG00000262728,-0.139
ENSG00000253853,-0.139
MTCO2P5,-0.139
SNORD56B,-0.139
ENSG00000223804,-0.139
H2BP2,-0.139
ENSG00000279453,-0.139
ENSG00000277604,-0.139
QKI,-0.139
SLC25A26,-0.139
SLC16A11,-0.139
OR2L9P,-0.139
ZRSR2P1,-0.139
MAGEE2,-0.139
ENSG00000206976,-0.139
ENSG00000255670,-0.139
LINC02035,-0.139
GBA2,-0.139
CHRFAM7A,-0.139
ENSG00000273118,-0.139
ENSG00000231965,-0.139
IFNW1,-0.139
ENSG00000270149,-0.139
C3ORF18,-0.139
CLCN4,-0.139
POU5F2,-0.139
ZBTB44-DT,-0.139
LCT-AS1,-0.139
ENSG00000255144,-0.139
ENSG00000279637,-0.139
BCAT1,-0.139
ZNF773,-0.139
PPP1R18,-0.139
ENSG00000234286,-0.139
KLF7-IT1,-0.139
ANPEP,-0.139
TCEAL2,-0.139
ENSG00000285498,-0.139
ENSG00000270893,-0.139
ENSG00000278778,-0.139
ENSG00000254826,-0.139
ZNF189,-0.139
ENSG00000279814,-0.139
TMEM72-AS1,-0.139
LINC02084,-0.139
UBE2D3P1,-0.139
ITGAD,-0.139
GCNT2P1,-0.139
ENSG00000276900,-0.139
METTL24,-0.139
ELAC1,-0.139
CYP2D8P,-0.139
CHMP1B-AS1,-0.139
LIX1L,-0.139
SNORD116-21,-0.139
SLC8B1,-0.139
TMEM200A,-0.139
ENSG00000278942,-0.14
ENSG00000269506,-0.14
ENSG00000231509,-0.14
IGLJ5,-0.14
AVPR1A,-0.14
AGBL2,-0.14
PRORSD1P,-0.14
ASTE1,-0.14
OR52V1P,-0.14
ENSG00000255045,-0.14
LINC02887,-0.14
ENSG00000243402,-0.14
UPP2,-0.14
BNIP3P17,-0.14
ENSG00000263709,-0.14
LEAP2,-0.14
ADAD2,-0.14
ZNF709,-0.14
ENSG00000251584,-0.14
DTNBP1,-0.14
ENSG00000280214,-0.14
TRAK1,-0.14
PADI6,-0.14
RPS26P21,-0.14
TUT4,-0.14
ENSG00000277595,-0.14
OR52N3P,-0.14
PRY,-0.14
IL18BP,-0.14
ENSG00000272834,-0.14
MXI1,-0.14
RNU6-946P,-0.14
PHKA2-AS1,-0.14
CTSE,-0.14
MIR1270,-0.14
LINC01574,-0.14
KIZ,-0.14
RNU6-1010P,-0.14
ENSG00000269274,-0.14
SMCO4,-0.14
ENSG00000223294,-0.14
DCP1A,-0.14
C1ORF50,-0.14
SH3GLB1,-0.14
ENSG00000253645,-0.14
LRMDA,-0.14
MEF2D,-0.14
ECT2L,-0.14
ENSG00000261394,-0.14
CDC40,-0.14
CCNYL7,-0.14
ENSG00000226862,-0.14
ENSG00000256626,-0.14
RBM11,-0.14
ENSG00000250189,-0.14
ENSG00000214772,-0.14
COP1,-0.14
ITLN2,-0.14
ENSG00000224731,-0.14
B9D2,-0.14
ENSG00000278133,-0.14
ENSG00000279474,-0.14
ENSG00000276768,-0.141
ENSG00000238061,-0.141
NANOGP11,-0.141
ENSG00000278690,-0.141
ENSG00000234175,-0.141
KIAA0087,-0.141
ESAM,-0.141
ENSG00000273489,-0.141
